first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username,twitter
Paolo,Acciari,pac76,5,2,71,11,,,,,0
Martin,Acht,pac77,1,1,11,1,,,,,0
Veronica,Acurio Vasconez,pac78,1,0,3,3,,,,,0
Alessandro,Acquisti,pac8,6,4,322,9,,,,,0
Chakra,Acharya,pac80,2,0,10,6,,,,,0
Theophilus,Acheampong,pac81,1,0,1,3,,,,,0
Kwabena,Nkrumah,pac85,41,100,5642,1,,,,,0
Marius,Acatrinei,pac86,2,0,6,2,,,,,0
Lahcen,Achy,pac9,4,3,76,15,,,,,0
Gopakumar,Achuthankutty,pac92,1,0,1,1,,,,,0
Noer,Achsani,pac93,2,0,5,16,,,,,0
Yury,Achkasov,pac98,6,1,64,1,,,,,0
Klaus,Adam,pad1,14,20,1125,18,,,,,0
Effrosyni,Adamopoulou,pad100,3,0,19,7,,,,,0
Adrian,Adermon,pad101,5,3,61,6,,,,,0
Deodat,Adenutsi,pad102,4,1,37,7,,,,,0
Wiktor,Adamowicz,pad105,21,39,2531,34,,,,,0
Adeniyi,Adenuga,pad107,2,0,8,1,,,,,0
James,Adams,pad11,13,17,920,39,,,,,0
Brian,Adams,pad114,1,0,2,1,,,,,0
Stef,Adriaenssens,pad117,1,0,4,8,,,,,0
Philippe,Adair,pad118,3,0,17,34,,,,,0
Jerome,Adda,pad119,13,16,770,22,,,,,0
Peter Martey,Addo,pad121,3,1,28,4,,,,,0
Manuel,Adelino,pad122,7,5,251,8,,,,,0
Arun,Advani,pad123,2,0,8,4,,,,,0
Tomas,Adam,pad125,2,0,10,4,,,,,0
Oluwatosin,Adeniyi,pad127,3,0,22,5,,,,,0
Gustavo,Adler,pad129,7,5,161,10,,,,,0
Takanori,Adachi,pad13,5,3,54,14,,,,,0
George,Adu,pad130,3,0,22,6,,,,,0
Damian,Adams,pad131,3,1,35,11,,,,,0
Zeno,Adams,pad133,2,1,61,2,,,,,0
Maniklal,Adhikary,pad134,1,0,2,8,,,,,0
Lee,Adkins,pad136,7,5,164,26,,,,,0
Maja,Adena,pad139,3,2,68,5,,,,,0
John,Addison,pad14,23,57,2068,44,,,,,0
Brian,Adam,pad140,3,1,32,25,,,,,0
Francesco,Addesa,pad141,2,0,6,7,,,,,0
Jonathon,Adams-Kane,pad144,3,0,20,8,,,,,0
Fenaba,Addo,pad145,1,0,2,5,,,,,0
Kwame,Adom,pad146,2,0,7,4,,,,,0
Frank,Adu,pad150,2,0,16,1,,,,,0
Bibek,Adhikari,pad152,2,1,15,2,,,,,0
Assefa,Admassie,pad157,5,3,107,19,,,,,0
Renee,Adams,pad158,14,14,1566,13,,,,,0
Tony,Addison,pad159,11,14,373,32,"43,300","3,977","21,300",@tonysangle,1
Vid,Adrison,pad161,1,0,1,14,,,,,0
Anjali,Adukia,pad164,1,0,7,1,7,622,446,@aadukia,1
Adegoke,Adeleke,pad167,1,0,5,2,,,,,0
Melissa,Adelman,pad185,1,0,1,1,,,,,0
Charles,Adjasi,pad196,6,3,134,11,,,,,0
Dadhi,Adhikari,pad197,1,0,2,1,,,,,0
Amat,Adarov,pad198,1,0,9,5,,,,,0
Oluwatobiloba,Adewunmi,pad203,11,14,373,5,624,761,187,@oluwatobiclay,1
Irma,Adelman,pad207,10,10,259,5,,,,,0
Abi,Adams,pad210,3,1,37,5,,,,,0
Carol,Adams,pad211,7,5,127,24,,,,,0
Tindara,Addabbo,pad215,5,1,64,17,,,,,0
Pawel,Adrjan,pad216,4,1,56,1,,,,,0
Scott,Adams,pad22,11,11,335,17,,,,,0
Alicia,Adsera,pad25,10,10,578,18,,,,,0
Elisabetta,Addis,pad32,2,0,13,18,,,,,0
Christopher,Adam,pad33,13,15,548,23,,,,,0
David,Adamson,pad38,5,4,80,16,,,,,0
Philip,Adams,pad39,8,7,206,28,,,,,0
Nick,Adnett,pad4,5,1,103,39,,,,,0
Antonis,Adam,pad41,7,7,165,16,,,,,0
Malin,Adolfson,pad42,13,14,1029,15,,,,,0
Joseph,Adegbesan,pad46,2,0,6,1,,,,,0
Tasso,Adamopoulos,pad48,6,5,162,11,,,,,0
Fikret,Adaman,pad50,6,3,99,26,,,,,0
Stéphane,Adjemian,pad52,5,2,58,11,,,,,0
Yvonne,Adema,pad53,4,0,32,17,,,,,0
