first.name,last.name,ID,twitter,h.index,i10.index,citations,tweets,following,followers
Javier,GÃ?mez Prieto,pgm30, @jagopri ,1,0,2,"3,783","2,575","1,479"
Refet,GÃ?rkaynak,pgu93, @refetgurkaynak ,18,19,2051,894,0,"28,500"
Chloe,Gibbs,pgi306, @chloergibbs ,1,0,7,"1,321",556,"1,052"
Marek,Giebel,pgi231, @marekgiebel ,1,0,2,"1,696",985,297
Timothee,Gigout Magiorani,pgi344, @timufr ,1,0,2,488,242,52
David,Giles,pgi8, @DEAGiles ,11,14,646,"9,065",131,"2,345"
Enrique,Gilles,pgi130, @enriquegilles ,1,0,1,"1,015",381,270
Andres,Giraldo,pgi58, @af_giraldo ,2,0,13,"30,700","1,710",867
Claudia,Girardone,pgi106, @clagirardone ,12,13,605,110,243,139
Yann,Giraud,pgi180, @yannbgiraud ,2,0,13,"1,338",226,482
Corrado,Giulietti,pgi169, @c_giulietti ,9,9,269,324,323,425
Gregory,Givens,pgi104, @gregorygivens ,3,1,51,897,61,170
Steven,Glazerman,pgl62, @eduglaze ,7,7,236,"4,223",911,"2,310"
Rachel,Glennerster,pgl73, @rglenner ,9,9,625,"3,304",504,"8,018"
Christophe,Godlewski,pgo98, @chrisjgodlewski ,7,6,163,"32,900",392,572
Sebastian,Goerg,pgo244, @sebastianjgoerg ,6,5,111,215,338,265
William,Goffe,pgo13, @billgoffe ,4,3,285,327,94,166
Avi,Goldfarb,pgo53, @avicgoldfarb ,16,24,827,"1,174",454,"1,504"
Paul,Goldsmith-Pinkham,pgo624, @paulgp ,5,4,264,"9,647",740,"1,726"
Rebeca,Gomez Betancourt,pgo432, @rgbetancourt ,2,0,9,"2,297","1,751",908
Clara,Gonzalez,pgo284, @glezclarisa ,4,0,31,"4,515","1,228","1,519"
Manuel,Gonzalez-Astudillo,pgo189, @manugonzalez76 ,2,0,11,"27,100",965,"3,833"
Martin,Gonzalez-Rozada,pgo321, @martingrozada ,8,6,231,"4,125",299,"2,436"
Alberto,GonzÃ¡lez de Aledo PÃ©rez,pgo791, @agpalberto ,6,1,98,363,147,139
Joshua,Goodman,pgo281, @joshuasgoodman ,8,6,235,"5,596",292,"3,691"
Stephen,Gordon,pgo166, @stephenfgordon ,7,5,320,"40,900",627,"9,831"
Stefano,Gori,pgo728, @stefgori73 ,1,0,3,"1,519","3,791",739
Joshua,Gottlieb,pgo188, @gottliebecon ,8,8,729,"1,925",609,"1,361"
Christophe,Gouel,pgo250, @christophegouel ,8,7,178,16,63,55
Francois,Gourio,pgo158, @francoisgourio ,10,10,587,"2,188","1,485","1,206"
Catalina,Granda Carvajal,pgr245, @c2granda ,1,0,8,127,413,405
Laura,Grant,pgr248, @c0ntributary ,3,2,52,"1,412",477,566
Brigitte,Granville,pgr152, @brigranville ,7,6,145,"6,183","1,317","1,746"
Christina,Gravert,pgr385, @c_a_gravert ,4,1,51,228,245,391
Rowena,Gray,pgr390, @rowenagray6 ,3,1,29,150,541,381
Joshua,Greenstein,pgr606, @joshuapell1 ,2,1,29,498,355,138
Kevin,Grier,pgr46, @ez_angus ,14,21,1317,"4,614",493,"1,348"
Raffaele,Grimaldi,pgr339, @graffagraffa ,1,0,7,362,341,221
Shoshana,Grossbard,pgr93, @econoflove ,8,7,320,"16,700","2,297","4,020"
Richard,Grossman,pgr394, @rsgrossman ,10,10,372,437,189,316
Vincent,Grossmann-Wirth,pgr576, @vincegw ,1,0,3,749,"1,578",549
Julia,Gruebler,pgr588, @juliagruebler ,3,0,11,99,167,92
Guillaume,GruÃ¨re,pgr132, @ggruere ,8,7,160,"2,014",227,296
Andrea,Guariso,pgu517, @a_guariso ,3,1,31,80,374,150
Gianni,Guastella,pgu344, @gianniguastella ,4,0,35,205,424,114
Carlos,Guerrero-de-Lizardi,pgu157, @cgdelizardi ,2,0,12,"5,053",311,407
Pierre,GuÃ©rin,pgu370, @pierreconomics ,4,3,84,7,40,7
Marco,Guidi,pgu293, @melguidi ,1,0,9,123,274,264
Bernardo,Guimaraes,pgu115, @bernardogmrs ,8,7,323,674,122,"1,935"
Maria-Carmen,Guisan,pgu2, @mcguisan ,6,2,165,7,19,6
CÃ©line,Guivarch,pgu160, @celineguivarch ,10,11,274,"1,028","1,161","1,020"
Constantin,Gurdgiev,pgu359, @gtcost ,3,2,135,"176,000",841,"34,400"
Sergei,Guriev,pgu59, @sguriev ,16,23,923,673,85,"55,400"
Italo,Gutierrez,pgu568, @italoguti ,1,0,6,294,429,279
Fatih,Guvenen,pgu24, @fatihguvenen ,16,21,1300,"3,374",263,"1,796"
Metodij,Hadzi-Vaskov,pha531, @hadzivaskov ,2,1,26,2,2,36
Christian,Hafner,pha77, @cmhafner ,18,24,723,91,217,83
Md Mahbubul,Hakim,pha759, @mahbub_hakim ,1,0,3,19,31,8
Martin,Halla,pha188, @hallamartin ,10,10,329,782,481,287
AndrÃ©s,Ham,pha399, @ahamg ,2,1,23,"2,822",377,307
Nacer-Eddine,Hammouda,pha712, @nacereddinehamm ,2,0,12,28,40,18
Muhammad,Hanif,pha397, @nadimhanif ,7,4,123,90,76,58
Colm,Harmon,pha269, @colmharmon ,20,32,1988,"8,021",921,"1,721"
Mark,Harrison,pha297, @mark4harrison ,5,1,90,"3,354",159,"1,182"
David,Harvey,pha1135, @profdavidharvey ,4,3,211,"2,815",737,"88,600"
Zubair,Hasan,pha42, @hasan_zubair ,5,1,91,4,2,18
MÃ?bariz,Hasanov,pha570, @mubariz_hasanov ,7,4,132,488,186,173
Jonathan,Haskel,pha161, @haskelecon ,25,52,2499,"1,780",666,"3,224"
Justus,Haucap,pha87, @haucap ,13,19,663,"8,600","1,855","3,380"
Olena,Havrylchyk,pha384, @olenahavrylchyk ,9,9,301,766,849,541
Keith,Head,phe156, @ckhead ,29,41,5094,"2,807",258,503
James,Heckman,phe22, @heckmanequation ,87,209,34823,"1,622","2,043","15,400"
Scott,Hegerty,phe290, @scottwhegerty ,9,8,321,23,367,23
Gaston,Heimeriks,phe440, @gastonheimeriks ,6,4,117,994,345,510
Nathan,Hendricks,phe387, @nphendricks ,5,4,88,876,464,540
Joshua,Hendrickson,phe497, @rebeleconprof ,3,2,48,"6,585",324,"1,756"
Carlos Eduardo,HernÃ¡ndez,phe236, @cehernandezecon ,2,0,7,"1,290",708,368
Marcos,Herrera,phe373, @mherreragomez ,3,0,23,197,264,142
Garth,Heutel,phe315, @garthheutel ,12,13,436,"1,396",794,702
Paul,HÃ?nermund,phn4, @phuenermund ,2,0,16,"3,430","1,050",556
Werner,HÃ¶lzl,phl1, @whoelzl ,8,8,262,327,418,245
Ross,Hickey,phi116, @rossatronhickey ,3,1,23,892,269,193
Manuel,Hidalgo,phi57, @manuj_hidalgo ,2,1,22,"84,000","1,071","5,928"
Alexander,Hijzen,phi32, @alexanderhijzen ,15,21,786,109,194,159
Mihaly,Himics,phi176, @trialsolution ,4,1,44,29,58,13
Julian,Hinz,phi178, @julianhinz ,1,0,1,463,790,328
Keisuke,Hirano,phi11, @keisukehirano ,7,7,717,525,485,341
Kalle,Hirvonen,phi154, @kallehi ,6,2,58,692,988,495
Sandile,Hlatshwayo,phl19, @femme_economics ,3,1,25,"5,716","1,302","1,511"
Jessica,Hoel,pho556, @jess_hoel ,2,1,18,"1,463",485,"1,627"
Marc,Hofstetter,pho141, @mahofste ,5,3,87,"2,370",109,"4,554"
Seamus,Hogan,pho247, @seamus_hogan ,5,3,89,776,29,142
Tom,Holden,pho254, @t_holden ,3,2,50,676,"2,726","1,839"
Kim,Holder,pho644, @cubegrl ,2,0,5,"16,500","2,639","2,072"
Mark,Holmes,pho188, @holmes_markj ,13,21,678,11,241,81
Elke,Holst,pho166, @elkeholst ,7,6,261,999,277,980
Mario,Holzner,pho228, @marioholzner ,6,4,167,"3,217","3,384","2,033"
John,Horton,pho433, @johnjhorton ,5,1,201,"2,836",720,"2,488"
Michal,Horvath,pho183, @mh0rvath ,2,0,16,"3,745",606,464
Daniel,Howdon,pho460, @danielhowdon ,2,0,5,"6,615",358,"2,342"
Darren,Hudson,phu82, @competitiveag ,9,9,392,"2,041",450,828
Brad,Humphreys,phu36, @humphreys_brad ,14,19,608,"4,278",920,"1,022"
Rob,Hyndman,phy3, @robjhyndman ,18,27,1183,"1,183",656,"7,244"
AndrÌ©s,ÌÅlvarez,pal376, @aalvarezgallo ,2,0,9,"5,267",565,908
Roberto,Iacono,pia29, @robertoiacono83 ,1,0,1,139,567,206
Stefano,Iacus,pia3, @iacus ,6,5,372,"2,215",440,"1,197"
Ana,IbÃ¡Ã±ez,pib11, @anamibanez ,9,9,237,"2,423",975,"8,112"
Julien,Idier,pid4, @julien_idier ,5,3,134,85,172,199
Hugo,ÌÔopo,pno16, @hugonopo ,10,11,302,"15,100",800,"6,826"
Ethan,Ilzetzki,pil21, @ilzetzki ,8,7,858,"1,743",92,350
Gerardo,Infante,pin66, @ge_inf ,2,1,14,"1,210",443,482
Robert,Inklaar,pin7, @robertinklaar ,16,25,1389,164,37,195
Yannis,Ioannides,pio6, @profymi ,22,39,2005,857,106,247
Lars Peter,Ì÷sterdal,pst511, @lposterdal ,10,11,302,165,97,213
Robert,Iquiapaza,piq6, @riquiapaza ,1,0,4,"1,855",312,56
Peter,Ireland,pir1, @pirelandatbc ,22,39,2640,"1,974","1,253","1,291"
Scott,Irwin,pir28, @scottirwinui ,16,33,1135,"8,792","13,200","13,400"
Sarah,Jacobson,pja277, @sarahjacobsonec ,4,2,110,"3,003",238,851
Dany,Jaimovich,pja101, @djaimovi ,4,4,212,"1,606",392,367
Tarun,Jain,pja191, @hyderabadi_chai ,5,1,76,430,274,632
Pamela,Jakiela,pja260, @pjakiela ,6,4,219,837,942,"3,064"
David-Jan,Jansen,pja40, @djansenresearch ,13,15,936,464,89,106
Ron,Jarmin,pja54, @jarmin_ron ,21,28,2077,"1,561",310,646
Seema,Jayachandran,pja86, @seema_econ ,12,13,780,626,519,"5,223"
Henrik,Jensen,pje99, @hjecon ,14,19,913,530,55,306
Sabrina,Jeworrek,pje150, @sjeworrek ,1,0,3,30,97,33
Geraint,Johnes,pjo17, @geraintjohnes ,14,21,683,"3,893",386,"1,076"
Kelly,Jones,pjo285, @kmpjones ,3,2,42,84,183,180
Damon,Jones,pjo350, @nomadj1s ,5,5,126,"9,186","1,252","10,700"
Garett,Jones,pjo80, @garettjones ,8,7,258,"1,044",119,"9,136"
Sam,Jones,pjo324, @esamjones ,9,9,411,"3,196",802,884
Andrew,Jones,pjo98, @andrew_m_jones ,27,44,2303,128,77,630
Henrik,Jordahl,pjo15, @henrikjordahl ,11,11,502,"1,922","1,111","1,376"
Anna,Josephson,pjo314, @aljosephson ,2,2,42,"3,138",156,82
Frank,Jotzo,pjo49, @frankjotzo ,11,15,444,"4,168",731,"2,715"
Matthew,Kahn,pka41, @mattkahn1966 ,30,63,3415,"6,242",547,"2,150"
Brooks,Kaiser,pka278, @brookskaiser ,7,4,86,"4,316","1,571",770
Yannick,Kalantzis,pka185, @kalantzis ,5,2,85,261,80,139
Kenan,Kalayci,pka340, @kalayci_kenan ,3,2,61,"4,887",817,"1,235"
David,Kaplan,pka253, @david_s_kaplan ,8,8,292,"20,200",477,"4,655"
Dean,Karlan,pka56, @deankarlan ,30,50,3253,"1,532",72,"14,800"
Maximilian,Kasy,pka876, @maxkasy ,5,2,60,"1,003",229,"1,565"
Daniel,Kaufmann,pka480, @kaufmanndani ,4,1,39,322,219,159
Melissa,Kearney,pke151, @kearney_melissa ,13,15,1404,"1,180",291,"4,304"
Steve,Keen,pke123, @profstevekeen ,8,6,241,"42,200",709,"50,300"
Stijn,Kelchtermans,pke174, @kingofthebongo ,5,3,66,369,"1,506",527
Claudia,Kemfert,pke85, @ckemfert ,15,16,924,"5,110",368,"7,982"
Charles,Kenny,pke79, @charlesjkenny ,8,8,332,"19,400",409,"19,600"
Christian,Ketels,pke167, @chrisketels ,7,6,115,"1,168",165,"1,480"
Sarosh,Khan,pkh13, @saroshkhan ,1,0,8,"3,479",586,325
David,Khoudour-CastÃ©ras,pkh104, @davidkhoudour ,4,2,68,"2,729","3,006","3,801"
LÃ¡szlÃ?,KÃ?czy,pko27, @laszlokoczy ,6,4,108,549,108,110
Finn,KÃ¶rner,pkr145, @liberalkorner ,1,0,7,10,10,18
Aykut,Kibritcioglu,pki1, @akibritcioglu ,5,3,81,"22,200","1,898","9,692"
Michael,Kiley,pki4, @michaelkiley5 ,20,28,1346,38,1,34
Miles,Kimball,pki97, @mileskimball ,26,29,4813,"37,800",885,"15,900"
Gary,King,pki187, @kinggary ,14,16,1092,"4,368","10,100","26,800"
Stephen,Kinsella,pki169, @stephenkinsella ,5,2,101,"35,200","3,425","20,400"
Oliver,Kirui,pki454, @oliverkirui ,3,1,56,439,779,364
Barrett,Kirwan,pki135, @barrettkirwan ,5,4,198,"8,125","1,213",825
