first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username
Beatriz,Garcia Osma,pga265,6,5,87,12,372,86,110, @beagosma 
Pablo,BraÃ±as-Garza,pbr52,13,15,449,18,551,455,"1,320", @behsnaps 
Benjamin,Elsner,pel117,6,4,110,7,479,"1,007",610, @ben_elsner 
Ben,Bernanke,pbe55,42,65,17993,34,61,2,"98,900", @benbernanke 
Jonathan,Benchimol,pbe432,2,1,31,6,259,832,703, @benchimolium 
BenoÃ®t,Nguyen,png225,3,1,18,1,442,117,243, @benoit_nguyen 
Benoit,Dostie,pdo7,8,8,302,20,897,256,374, @benoitdos 
Benoit,Mojon,pmo43,22,25,1826,24,106,212,331, @benoitmojon 
Yonatan,Ben-Shalom,pbe736,3,1,72,21,993,465,230, @benshalomy 
Nicoletta,Berardi,pbe700,3,1,39,9,70,95,250, @berardi_n_ 
Bernardo,Guimaraes,pgu115,8,7,323,15,674,122,"1,935", @bernardogmrs 
Betsey,Stevenson,pst145,15,15,1381,15,"3,625",687,"30,400", @betseystevenson 
Jonathan,Nitzan,pni2,7,3,200,29,266,43,108, @bichlernitzan 
Vincent,Bignon,pbi82,5,2,83,17,202,109,134, @bignonvincent 
William,Craighead,pcr146,2,1,27,8,434,299,76, @bill_craighead 
William,Easterly,pea1,42,77,9636,27,"13,400","1,986","108,000", @bill_easterly 
William,Goffe,pgo13,4,3,285,16,327,94,166, @billgoffe 
Patrick,Van Cayseele,pva331,7,4,438,25,605,657,300, @bjvca 
Blanca,Sanchez-Robles,psa130,5,3,313,19,56,"3,608","4,246", @blancasanchezr1 
Ralf,Dewenter,pde639,10,11,261,14,"1,043",277,281, @blog_m 
Fabien,Candau,pca221,3,1,68,12,"2,639",997,962, @blogageco 
Benedicta,Marzinotto,pma1298,5,4,78,10,"1,102",258,394, @bmarzinotto 
Bogdan,Oancea,poa5,2,0,20,12,844,386,69, @bogdan__oancea 
Jean-Marc,Bonnisseau,pbo292,11,13,274,31,59,25,62, @bonnisseaujm 
Jamal,Bouoiyour,pbo522,7,5,186,26,600,439,215, @bouoiyour_b 
Brandon,Restrepo,pre412,2,0,11,1,25,218,36, @brandonbits 
Branko,Milanovic,pmi44,18,35,1283,35,"35,200",931,"45,700", @brankomilan 
Brent,Moulton,pmo70,10,10,1956,28,252,530,848, @brent_moulton 
Brian,Lucey,plu85,21,35,1560,14,"105,000",538,"21,300", @brianmlucey 
Brigitte,Granville,pgr152,7,6,145,20,"6,183","1,317","1,746", @brigranville 
Brooks,Kaiser,pka278,7,4,86,22,"4,316","1,571",770, @brookskaiser 
Taggert,Brooks,pbr669,4,3,120,17,"1,920",476,254, @brookstagg 
Bruno,Martorano,pma2054,5,3,89,8,87,243,156, @bruno_martorano 
Bryane,Michael,pmi53,1,0,5,14,529,337,129, @bryanebryane 
Battista,Severgnini,pse182,5,2,59,9,556,932,320, @bsevergnini 
Paul,Burke,pbu214,9,8,214,24,"2,665","1,138","1,244", @burke_ec 
Christina,Gravert,pgr385,4,1,51,5,228,245,391, @c_a_gravert 
Cristiano,Cantore,pca433,7,3,104,8,16700,735,356, @c_cantore 
Corrado,Giulietti,pgi169,9,9,269,8,324,323,425, @c_giulietti 
Carmelo,Petraglia,ppe156,7,7,213,15,"2,993",221,416, @c_petraglia 
Laura,Grant,pgr248,3,2,52,9,"1,412",477,566, @c0ntributary 
Catalina,Granda Carvajal,pgr245,1,0,8,14,127,413,405, @c2granda 
Antonio,Cabrales,pca5,18,28,893,25,1952,406,"2,642", @cabralestweet 
Julia,Cag√©,pca601,5,2,66,10,4614,"1,858","13,300", @cagejulia 
Carlos,MatÃ©,pma1469,3,1,30,15,28,67,38, @carlomate 
Carlos,Ospino,pos65,3,1,25,9,"13,900",665,652, @carlos_g_ospino 
Carlos,Medina,pme245,7,2,157,24,"7,766","1,532","1,163", @carlosmedinad 
Carlo,Stagnaro,pst436,1,0,5,9,"61,200","2,994","21,200", @carlostagnaro 
Carmen,Reinhart,pre33,68,115,23897,29,11,28,"1,100", @carmenmreinhart 
Juan,Vargas,pva96,6,4,314,15,"3,498",152,482, @carminaovargas 
Edward,Cartwright,pca11,6,2,100,16,65,89,23, @cartwright_e 
John,Cawley,pca6,22,39,2161,21,1466,562,"2,011", @cawley_john 
Christopher,Blattman,pbl37,10,10,750,15,"19,300","2,612","61,200", @cblatts 
Carlo,Carraro,pca270,22,39,1947,32,1424,190,"1,314", @ccarraro_unive 
Christian,Daude,pda243,10,12,659,20,"5,559",500,"1,613", @cdaude 
Cecilio,Tamarit,pta130,14,23,538,24,"4,659",182,248, @cecilio31 
Carlos Eduardo,HernÃ¡ndez,phe236,2,0,7,2,"1,290",708,368, @cehernandezecon 
CÃ©line,Guivarch,pgu160,10,11,274,10,"1,028","1,161","1,020", @celineguivarch 
Cengiz,Tunc,ptu131,2,0,11,4,"1,169",74,24, @cengiz_tunc 
Christopher,Baum,pba1,19,44,2822,41,543,70,119, @cfbaum 
Carlos,Guerrero-de-Lizardi,pgu157,2,0,12,19,"5,053",311,407, @cgdelizardi 
Chad,Bown,pbo555,14,22,631,16,"7,914",580,"46,600", @chadbown 
Charles,Kenny,pke79,8,8,332,19,"19,400",409,"19,600", @charlesjkenny 
Chloe,Gibbs,pgi306,1,0,7,1,"1,321",556,"1,052", @chloergibbs 
Michael,Christl,pch1472,2,0,7,3,4650,422,793, @chr_mich 
Christophe,Godlewski,pgo98,7,6,163,14,"32,900",392,572, @chrisjgodlewski 
Christian,Ketels,pke167,7,6,115,21,"1,168",165,"1,480", @chrisketels 
Christopher,Sampson,psa1048,1,0,1,5,"3,286",971,"1,150", @chrissampson87 
Christophe,Gouel,pgo250,8,7,178,11,16,63,55, @christophegouel 
Christian Alexander,Mongeau Ospina,pmo915,1,0,3,3,948,224,432, @chrmongeau 
Christian,Traxler,ptr50,11,12,427,13,488,289,486, @chtraxler 
George,Van Houtven,pva328,8,7,154,13,"3,143",962,690, @chvanhoutven 
Casey,Wichman,pwi342,1,0,7,4,"1,268",477,446, @cjwich 
Claudia,Kemfert,pke85,15,16,924,20,"5,110",368,"7,982", @ckemfert 
Keith,Head,phe156,29,41,5094,24,"2,807",258,503, @ckhead 
Caroline,Krafft,pkr274,5,3,94,15,170,"1,752",486, @ckrafftc 
Claudia,Girardone,pgi106,12,13,605,14,110,243,139, @clagirardone 
Claire,Zanuso,pza297,1,0,2,2,"1,087",548,413, @clairezanuso 
Cristian,Larroulet Vignau,pla743,2,1,21,32,"11,200",997,"65,700", @clarroulet 
Claudio,Ferraz,pfe125,8,8,593,18,"4,796",722,"2,681", @claudferraz 
Claudia,Sahm,psa596,6,4,213,12,"10,400",700,"7,039", @claudia_sahm 
ClÃ©ment,Marsilli,pma1639,3,2,40,5,894,670,315, @clementmarsilli 
Cl√©o,Chassonnery-Za√Øgouche,pch1191,1,0,1,5,1027,745,427, @cleocz 
Christopher,Colvin,pco292,2,0,12,11,656,590,722, @cliochris 
Catherine,Mann,pma1323,13,16,731,32,"2,943",287,"4,550", @clmannecon 
Clemente,Pignatti,ppi447,2,0,11,3,589,440,297, @clpignatti 
Christian,Hafner,pha77,18,24,723,22,91,217,83, @cmhafner 
Christopher,Meissner,pme45,16,18,810,17,429,277,550, @cmicmeissner 
Giuseppe,Forte,pfo292,1,0,3,1,100,178,24, @cmlrqn 
C. Monica,Capra,pca93,9,9,312,14,683,197,239, @cmoncap 
Jorge,Miranda Pinto,pmi490,1,0,2,2,"1,600",537,270, @cokemp 
Colin,Williams,pwi356,6,3,192,27,"9,837","5,079","4,652", @colin_cwilliams 
Colm,Harmon,pha269,20,32,1988,24,"8,021",921,"1,721", @colmharmon 
Darren,Hudson,phu82,9,9,392,22,"2,041",450,828, @competitiveag 
J. Ignacio,Conde-Ruiz,pco86,10,10,576,22,8887,371,"11,200", @conderuiz 
Michael,Powell,ppo453,3,2,31,8,338,693,540, @convexify 
Christian,Posso,ppo308,5,1,50,12,837,497,309, @cpossosu 
Chandan,Sapkota,psa834,2,0,9,1,"18,400",981,"11,400", @csapkota 
Kim,Holder,pho644,2,0,5,1,"16,500","2,639","2,072", @cubegrl 
Roberto,Veneziani,pve214,7,4,146,1,"1,941","2,311",663, @cuginoid 
Christian,Zimmermann,pzi1,10,11,467,29,"1,474",158,"2,242", @czimm_economist 
David,Blanchflower,pbl22,37,66,7033,31,"97,300","2,454","61,400", @d_blanchflower 
Dominika,Langenmayr,pla562,4,3,55,6,648,285,425, @d_langenmayr 
Bernardo,Furtado,pfu54,1,0,1,15,"3,806",390,407, @d_young_69 
Daniele,Tori,pto318,3,1,29,3,"1,609",713,299, @da8to 
Dagfinn,Rime,pri21,15,17,694,17,112,276,196, @dagfinnrime 
Dale,Rosenthal,pro359,2,0,9,9,617,6,814, @dale_rosenthal 
Mohamed,Marouani,pma684,6,3,113,18,"2,069",205,480, @dalimarouani 
Mohamed Ali,Trabelsi,ptr145,3,0,17,9,20,330,15, @daly1704 
M. Daniele,Paserman,ppa129,17,19,990,19,"1,593",502,982, @danielepaserman 
Daniel,Howdon,pho460,2,0,5,5,"6,615",358,"2,342", @danielhowdon 
Daniel,Mejia,pme228,7,6,152,17,"9,155",719,"20,500", @danielmejial 
Daniel,Reiss,pre288,1,0,2,8,231,79,118, @danielreiss 
Danila,Serra,pse222,7,6,351,15,104,537,498, @danilaserra_eco 
Dany,Bahar,pba1149,3,2,64,20,"5,035",890,"15,300", @dany_bahar 
