first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username,twitter
Hesham,Abdel-Rahman,pab154,7,7,306,17,,,,,
Anna Lou,Abatayo,pab158,1,0,3,2,,,,,
Qaisar,Abbas,pab159,1,0,1,1,,,,,
Zulkefly,Abdul Karim,pab161,2,0,14,7,,,,,
Sufian,Abedl-Gadir,pab162,1,0,2,1,,,,,
Degnet,Abebaw Ejigie,pab166,6,2,81,11,,,,,
Johannes,Abeler,pab169,9,8,402,11,,,,,
Gianpaolo,Abatecola,pab171,2,0,21,12,,,,,
Muhamad,Abduh,pab173,1,0,6,1,,,,,
John,Abowd,pab175,27,47,4286,41,,,,,
Iskandar,Abdullaev,pab176,3,0,12,5,,,,,
Awudu,Abdulai,pab179,20,26,1044,25,,,,,
Abdelaziz,Hakimi,pab180,5,3,126,6,,,,,
Jennifer,Abel-Koch,pab181,3,2,38,2,,,,,
Emad,Abdullatif,pab183,1,0,2,1,,,,,
Kanat,Abdolla,pab184,1,0,3,1,,,,,
Alexandre,Abreu,pab188,1,0,8,2,,,,,
George,Abonyi,pab189,1,0,1,7,,,,,
Klaus,Abbink,pab191,20,28,1389,22,,,,,
S. M.,Abbas,pab196,7,7,290,11,,,,,
Burton,Abrams,pab197,9,9,288,41,,,,,
Pongrapeeporn,Abhakorn,pab198,2,0,12,4,,,,,
Ilhom,Abdulloev,pab200,4,1,34,4,,,,,
Ibrahim,Abada,pab202,4,2,50,6,,,,,
Assem,Abu Hatab,pab206,1,0,3,7,,,,,
Abdullahi,Abdulkadri,pab210,3,0,25,16,,,,,
Javad,Abedini,pab211,2,1,25,1,,,,,
Bekzod,Abdullaev,pab213,1,0,3,3,,,,,
Babatunde,Abidoye,pab215,3,1,32,6,,,,,
Yukiko,Abe,pab216,6,4,96,22,,,,,
Kamel,Abdellah,pab218,1,0,1,1,,,,,
Saad,Mutashar,pab219,1,0,2,1,,,,,
Mehdi,Abid,pab220,2,2,40,1,,,,,
Mohammad,Abu-Zaineh,pab221,3,1,25,9,,,,,
Megersa,Abate,pab223,3,0,12,1,,,,,
Istvan,Abel,pab225,5,2,74,35,,,,,
Mohammed,Abdellaoui,pab230,12,15,1022,20,,,,,
Abed AL-Nasser,Abdallah,pab232,2,0,9,5,,,,,
Anna,Abalkina,pab235,1,0,1,8,,,,,
Brant,Abbott,pab239,3,1,113,10,,,,,
Manuel,Abdala,pab24,5,2,74,15,,,,,
Paolo,Abarcar,pab240,2,0,8,22,,,,,
Shujaat,Abbas,pab241,1,0,2,2,,,,,
Abdul,Abiad,pab242,12,13,787,13,,,,,
Azar,Abizada,pab246,2,0,8,3,,,,,
George,Abuselidze,pab247,1,0,1,7,,,,,
Girum,Abebe,pab252,3,0,17,6,,,,,
Kibrom,Abay,pab253,2,0,9,4,,,,,
Marcelo,Abreu,pab254,5,1,113,41,,,,,
Doaa,Abdou,pab256,2,0,8,13,,,,,
Alexander,Abroskin,pab261,1,0,7,4,,,,,
Zewdu,Abro,pab262,1,1,12,5,,,,,
Gemma,Abio,pab263,3,2,85,16,,,,,
Rahi,Abouk,pab265,2,1,26,4,,,,,
Shahrouz,Abolhosseini,pab271,1,1,23,2,,,,,
Kseniya,Abanokova,pab272,1,0,3,1,,,,,
Shaikh,Razak,pab273,5,3,142,4,,,,,
Hamid,Abdel Hakh,pab274,1,0,2,1,,,,,
Mohamed,Ariff,pab276,1,0,4,7,,,,,
Osman,Abbasoglu,pab277,1,1,24,10,,,,,
Cristina,Abad,pab280,1,0,5,8,,,,,
Gary,Abel,pab281,1,0,2,8,,,,,
Bassam,Abu Al-Foul,pab283,2,1,30,11,,,,,
Jan,Abrell,pab286,5,4,130,10,,,,,
Melaku,Abegaz,pab287,1,0,1,1,,,,,
Puriya,Abbassi,pab289,7,7,144,8,,,,,
Esmaiel,Abounoori,pab29,4,0,23,12,,,,,
Turkhan Ali,Abdul Manap,pab291,2,2,42,13,,,,,
Hashem,Abouwafia,pab292,1,0,2,1,,,,,
Kenzo,Abe,pab30,7,6,120,30,,,,,
Angela,Abbate,pab300,3,1,55,4,,,,,
Vasif,Abiyev,pab303,1,0,1,2,,,,,
Nicolas,Abad,pab308,1,0,3,5,,,,,
Abdurohman,Abdurohman,pab311,1,0,1,6,,,,,
Jens,Abildtrup,pab315,5,1,61,16,,,,,
Davinson,Abril Salcedo,pab318,1,0,1,1,,,,,
Katharine,Abraham,pab32,21,28,1852,39,,,,,
Azrul,Abdullah,pab329,1,1,56,10,,,,,
Nurudeen,Abu,pab332,2,1,17,7,,,,,
Emmanuel,Abbey,pab333,1,0,1,1,,,,,
Ignacio,Abasolo,pab338,4,2,50,13,,,,,
Menachem,Abudy,pab339,1,0,2,5,,,,,
Ali,Abbas,pab34,1,0,1,1,,,,,
Touhami,Abdelkhalek,pab343,3,1,52,19,,,,,
Ama,Abeberese,pab344,2,0,13,7,,,,,
Mary-Fidelis,Abiahu,pab351,1,0,1,1,,,,,
A.S.,Abdul-Rahim,pab354,1,0,3,3,,,,,
Michael Ralph,Abrigo,pab357,3,2,61,8,,,,,
Sikiru,Abdulsalam,pab358,1,0,1,10,,,,,
Subhash,Abhayawansa,pab362,1,0,4,7,,,,,
Malcolm,Abbott,pab364,7,6,342,20,,,,,
Shahzad,Abbas,pab366,1,1,23,18,,,,,
Mohammad Jalal,Abbasi-Shavazi,pab375,2,0,20,9,,,,,
Gashaw,Abate,pab378,3,0,18,4,,,,,
Hala,Abou-Ali,pab379,3,0,29,13,,,,,
